"Department","Name","No.","Date/Time","Location ID","ID Number","VerifyCode","CardNo"
"OUR COMPANY","94","94","12/31/2023 7:59 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/1/2024 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/1/2024 5:27 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/4/2024 9:04 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/4/2024 5:15 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/9/2024 9:00 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/9/2024 7:08 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/10/2024 9:04 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/10/2024 5:13 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/11/2024 9:06 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/11/2024 7:24 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/15/2024 9:18 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/15/2024 6:06 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/16/2024 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/16/2024 6:07 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/17/2024 9:28 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/17/2024 6:14 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/20/2024 9:04 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/20/2024 5:46 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/21/2024 9:02 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/21/2024 5:46 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","1/21/2024 5:53 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","116","116","12/26/2023 8:50 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","116","116","12/26/2023 5:08 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","116","116","12/28/2023 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","116","116","12/28/2023 5:00 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","116","116","12/30/2023 8:53 AM","104","","FP/PW/RF/FACE",""
